Discipline Tier 1,Column,Discipline Tier 2,Column4
Physical_Geology,"That branch of geology concerned with understanding the composition of the earth and the physical changes occurring in it, based on the study of rocks, minerals, and sediments, their structures and formations, and their processes of origin and alteration.",Petrology,"the branch of science concerned with the origin, small-scale structure, and composition of rocks"
Physical_Geology,"That branch of geology concerned with understanding the composition of the earth and the physical changes occurring in it, based on the study of rocks, minerals, and sediments, their structures and formations, and their processes of origin and alteration.",Petrophysics,the branch of geology concerned with the physical properties and behavior of rocks
Physical_Geology,"That branch of geology concerned with understanding the composition of the earth and the physical changes occurring in it, based on the study of rocks, minerals, and sediments, their structures and formations, and their processes of origin and alteration.",Seismology,the branch of science concerned with earthquakes and related phenomena
Physical_Geology,"That branch of geology concerned with understanding the composition of the earth and the physical changes occurring in it, based on the study of rocks, minerals, and sediments, their structures and formations, and their processes of origin and alteration.",Subsurface Exploration,The physical process of probing the geophysical subsurface in order to determine the structure and/or the presence of anomalies
Physical_Geology,"That branch of geology concerned with understanding the composition of the earth and the physical changes occurring in it, based on the study of rocks, minerals, and sediments, their structures and formations, and their processes of origin and alteration.",Tectonics,large-scale processes affecting the structure of the earth's crust
Sedimentology,"The science concerned with the description, classification, origin, and interpretation of sediments and sedimentary rock.",Coastal Sedimentology,"Scientific discipline concerned with the physical and chemical properties of coastal sedimentary rocks and the processes involved in their formation, including transportation, deposition, and lithification of sediments."
Sedimentology,"The science concerned with the description, classification, origin, and interpretation of sediments and sedimentary rock.",Edaphology,"is concerned with the influence of soils on living things, particularly plants."
Sedimentology,"The science concerned with the description, classification, origin, and interpretation of sediments and sedimentary rock.",Paleomagnetism,the branch of geophysics concerned with the magnetism in rocks that was induced by the earth's magnetic field at the time of their formation
Sedimentology,"The science concerned with the description, classification, origin, and interpretation of sediments and sedimentary rock.",Pedology,another term for soil science
Sedimentology,"The science concerned with the description, classification, origin, and interpretation of sediments and sedimentary rock.",Relative Dating,"the science of determining the relative order of past events, without necessarily determining their absolute age. In geology rock or superficial deposits, fossils and lithologies can be used to correlate one stratigraphic column with another"
Sedimentology,"The science concerned with the description, classification, origin, and interpretation of sediments and sedimentary rock.",Sedimentology,"Scientific discipline concerned with the physical and chemical properties of sedimentary rocks and the processes involved in their formation, including transportation, deposition, and lithification of sediments"
Sedimentology,"The science concerned with the description, classification, origin, and interpretation of sediments and sedimentary rock.",Stratigraphy,the branch of geology concerned with the order and relative position of strata and their relationship to the geological time scale; the analysis of the order and position of layers of archaeological remains; the structure of a particular set of strata
