URL	Label Comment
gnrd.globalnames.org/*	_cse_d6ieoekzj1u	
mesquiteproject.org/*	_cse_d6ieoekzj1u	
scratchpads.eu/*	_cse_d6ieoekzj1u	
specifysoftware.org/*	_cse_d6ieoekzj1u	
www.paleocore.org/*	_cse_d6ieoekzj1u	
gis1.asurite.ad.asu.edu/hadarv3/*	_cse_d6ieoekzj1u	
https://github.com/ropensci/neotoma/*	_cse_d6ieoekzj1u	
www.paleocentral.org/*	_cse_d6ieoekzj1u	
efossils.org/*	_cse_d6ieoekzj1u	
edna.palass-hosting.org/*	_cse_d6ieoekzj1u	
www.ucmp.berkeley.edu/*	_cse_d6ieoekzj1u	
www.paleotax.de/rudists/*	_cse_d6ieoekzj1u	
www.tdar.org/*	_cse_d6ieoekzj1u	
www.bgs.ac.uk/collections/*	_cse_d6ieoekzj1u	
www.bgs.ac.uk/collections/*	_cse_d6ieoekzj1u	
www.3d-fossils.ac.uk/*	_cse_d6ieoekzj1u	
portal.chronos.org/gridsphere/gridsphere?cid=tools_adp/*	_cse_d6ieoekzj1u	
coreref.org/*	_cse_d6ieoekzj1u	
odplegacy.org/samples_data/*	_cse_d6ieoekzj1u	
scientific.oceandrilling.org/*	_cse_d6ieoekzj1u	
data.oceandrilling.org/*	_cse_d6ieoekzj1u	
laccore.org/*	_cse_d6ieoekzj1u	
www.icdp-online.org/service/data-sample-management/in-the-repository/*	_cse_d6ieoekzj1u	
www.corewall.org/*	_cse_d6ieoekzj1u	
www.corewall.org/*	_cse_d6ieoekzj1u	
www.corewall.org/*	_cse_d6ieoekzj1u	
www.cnsopb.ns.ca/geoscience/geoscience-research-center/*	_cse_d6ieoekzj1u	
www.ldeo.columbia.edu/core-repository/*	_cse_d6ieoekzj1u	
my.usgs.gov/crcwc/*	_cse_d6ieoekzj1u	
www.gsa.state.al.us/ogb/*	_cse_d6ieoekzj1u	
repository.azgs.az.gov/uri_gin/azgs/dlio/921/*	_cse_d6ieoekzj1u	
www.dep.state.fl.us/geology/gisdatamaps/*	_cse_d6ieoekzj1u	
igs.indiana.edu/pdms/*	_cse_d6ieoekzj1u	
www.isgs.illinois.edu/iloil/*	_cse_d6ieoekzj1u	
www.isgs.illinois.edu/content/gamma-ray-logs-database/*	_cse_d6ieoekzj1u	
www.isgs.illinois.edu/ilmines/*	_cse_d6ieoekzj1u	
www.isgs.illinois.edu/ilwater/*	_cse_d6ieoekzj1u	
www.isgs.illinois.edu/isgs-seismometer/*	_cse_d6ieoekzj1u	
www.agiweb.org/datadirectory/*	_cse_d6ieoekzj1u	
ma.water.usgs.gov/infodata/*	_cse_d6ieoekzj1u	
bostonsoil.atech.tufts.edu/*	_cse_d6ieoekzj1u	
www.ogb.state.ms.us/*	_cse_d6ieoekzj1u	
kgs.uky.edu/kgsweb/DataSearching/OilGas/*	_cse_d6ieoekzj1u	
